id,views,likes,dislikes
5038,332,0,0
5039,442,0,0
5040,390,0,0
5041,340,0,0
5042,272,0,0
5043,247,0,0
5044,246,0,0
5045,259,0,0
5046,262,0,0
5047,428,0,0
5048,241,0,0
5050,237,0,0
5051,253,0,0
5052,255,0,0
5053,318,0,0
5054,230,0,0
5055,347,0,0
5056,305,0,0
5057,294,0,0
5058,257,0,0
5059,246,0,0
5060,236,0,0
5061,284,0,0
5062,240,0,1
5063,253,0,0
5064,245,0,0
5065,232,0,0
5066,235,0,0
5067,232,0,0
5068,251,0,0
5069,346,0,0
5070,309,0,0
5071,222,0,0
5072,208,0,0
5073,233,0,0
5074,202,0,0
5075,213,0,0
5076,362,0,0
5077,234,0,0
5078,209,0,0
5079,220,0,0
5080,255,0,0
5081,230,0,0
5082,229,0,0
5083,222,0,0
5084,236,0,0
5085,205,0,0
5086,208,0,0
5087,218,0,0
5088,254,0,0
5089,224,0,0
5090,477,2,0
5091,249,0,0
5092,215,0,0
5093,262,0,0
5094,227,0,0
5095,210,0,0
5096,252,0,0
5097,550,0,0
5098,246,0,0
5099,212,0,0
5100,382,0,0
5101,265,0,0
5102,199,0,0
5103,309,0,0
5104,201,0,0
5105,213,0,0
5106,239,0,0
5107,196,0,0
5108,269,0,0
5109,214,0,0
5110,204,0,0
5111,242,0,0
5112,215,0,0
5113,240,0,0
5114,196,0,0
5115,237,0,0
5116,216,0,0
5117,0,0,0
5118,257,0,0
5119,204,0,0
5120,234,0,0
5121,206,0,0
5122,195,0,0
5123,216,0,0
5124,229,0,0
5125,233,0,0
5126,198,0,0
5127,198,0,0
5128,266,0,0
5129,194,0,0
5130,223,0,0
5131,272,0,0
5132,227,0,0
5133,206,0,0
5134,199,0,0
5135,189,0,0
5136,201,0,0
5137,201,0,0
5138,189,0,0
5139,195,0,0
5140,187,0,0
5141,223,0,0
5142,222,0,0
5143,204,0,0
5144,220,0,0
5145,196,0,0
5146,233,0,0
5147,190,0,0
5148,188,0,0
5149,209,0,0
5150,197,0,0
5151,216,0,0
5152,205,0,0
5153,191,0,0
5154,200,0,0
5155,200,0,0
5156,209,0,0
5157,188,0,0
5158,185,0,0
5159,201,0,1
5160,196,0,0
5162,200,0,0
5163,211,0,0
5165,196,0,0
5169,192,0,0
5170,211,0,0
5173,184,0,0
5174,185,0,0
5175,203,0,0
5176,194,0,0
5177,340,0,1
5178,220,0,0
5179,197,0,0
5180,197,0,0
5183,183,0,0
5198,184,0,0
5199,226,1,0
5200,188,0,0
5201,204,0,0
5202,206,0,0
5203,221,0,0
5204,188,0,0
5205,189,0,0
5206,196,0,0
5207,202,0,0
5208,194,0,0
5209,201,0,0
5210,194,0,0
5211,234,0,0
5212,221,0,0
5213,224,0,0
5214,212,0,0
5215,188,0,0
5216,197,0,0
5217,197,0,0
5218,205,0,0
5219,189,0,0
5220,199,0,0
5221,244,0,0
5222,196,0,0
5223,187,0,0
5224,211,0,0
5225,203,0,0
5226,205,0,0
5227,214,0,0
5228,241,0,2
5229,190,0,0
5231,186,0,0
5232,191,0,0
5233,205,0,0
5234,202,0,0
5235,308,0,2
5236,214,0,0
5237,195,0,0
5238,210,0,0
5239,205,0,0
5240,196,0,0
5241,188,0,0
5242,201,0,0
5243,0,0,0
5244,200,0,0
5245,186,0,0
5246,204,0,0
5247,230,0,0
5248,197,0,0
5249,186,0,0
5250,231,0,0
5251,548,1,0
5252,280,0,0
5253,195,0,0
5254,185,0,0
5255,352,0,0
5256,216,1,0
5257,183,0,0
5258,203,0,0
5259,194,0,0
5260,189,0,0
5261,190,0,0
5262,192,0,0
5263,183,0,0
5264,184,0,0
5266,189,0,0
5267,184,0,0
5268,194,0,0
5269,193,0,0
5270,194,0,0
5272,230,0,0
5273,187,0,0
5274,239,0,0
5275,188,0,0
5277,259,0,1
5278,185,0,0
5279,186,0,0
5280,228,0,0
5281,185,0,0
5282,192,0,0
5284,1446,0,0
5285,352,0,0
5286,195,0,0
5287,194,0,0
5288,186,0,0
5289,209,0,0
5290,194,0,0
5292,211,0,0
5293,185,0,0
5294,192,0,0
5295,185,0,0
5296,177,0,0
5298,187,0,0
5299,212,0,0
5300,180,0,0
5301,195,0,0
5302,197,0,0
5303,185,0,0
5304,234,0,0
5305,202,0,0
5307,186,0,0
5308,190,0,0
5309,199,0,0
5310,227,0,0
5311,201,0,0
5312,182,0,0
5313,198,0,0
5314,186,0,0
5315,189,0,0
5316,206,0,0
5317,181,0,0
5318,188,0,0
5319,208,0,0
5320,1193,0,0
5321,198,0,0
5322,193,0,0
5323,193,0,0
5324,193,0,0
5325,186,0,0
5326,1197,0,0
5327,187,0,0
5328,195,0,0
5329,232,0,0
5330,196,0,0
5332,204,0,0
5333,185,0,0
5334,187,0,0
5335,205,0,0
5336,269,0,0
5337,190,0,0
5338,213,0,0
5339,188,0,0
5341,180,0,0
5342,196,0,0
5343,197,0,0
5344,188,0,0
5345,188,0,0
5346,197,0,0
5347,193,0,0
5349,189,0,0
5350,200,0,0
5351,185,0,0
5352,187,0,0
5353,190,0,0
5354,189,0,0
5356,188,0,0
5357,201,0,0
5358,194,0,0
5359,211,0,0
5360,182,0,0
5361,260,0,1
5362,1,0,0
5363,184,0,0
5364,185,0,0
5365,193,0,0
5366,267,0,0
5368,430,0,0
5369,188,0,0
5370,200,0,0
5371,258,0,0
5372,188,0,0
5373,240,0,0
5375,185,0,0
5376,188,0,0
5377,228,0,0
5378,194,0,0
5379,191,0,0
5380,185,0,0
5381,182,0,0
5382,207,0,0
5383,183,0,0
5384,195,0,0
5385,186,0,0
5386,284,0,1
5387,222,0,0
5388,231,0,0
5389,233,0,0
5390,196,0,0
5391,248,0,0
5392,206,0,0
5393,183,0,0
5394,257,0,0
5395,188,0,0
5396,203,0,0
5397,459,0,9
5398,187,0,1
5399,217,1,0
5400,186,0,0
5401,187,0,0
5402,180,0,0
5403,190,0,0
